date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2016-08-02,41.0,47.0,54.0,12.0,3.0,4.0,2,8,2016
2016-08-03,37.0,45.0,25.0,14.0,2.0,5.0,3,8,2016
2016-08-04,43.0,61.0,32.0,10.0,3.0,6.0,4,8,2016
2016-08-05,72.0,17.0,8.0,11.0,3.0,6.0,5,8,2016
2016-08-06,39.0,23.0,8.0,10.0,3.0,7.0,6,8,2016
2016-08-07,48.0,22.0,7.0,16.0,3.0,6.0,7,8,2016
2016-08-08,47.0,30.0,4.0,12.0,3.0,2.0,8,8,2016
2016-08-09,51.0,46.0,4.0,12.0,3.0,2.0,9,8,2016
2016-08-10,40.0,44.0,4.0,11.0,3.0,3.0,10,8,2016
2016-08-11,30.0,50.0,4.0,11.0,3.0,3.0,11,8,2016
2016-08-12,42.0,51.0,4.0,11.0,3.0,3.0,12,8,2016
2016-08-13,39.0,43.0,42.0,13.0,3.0,4.0,13,8,2016
2016-08-14,28.0,50.0,4.0,9.0,3.0,4.0,14,8,2016
2016-08-15,41.0,50.0,4.0,4.0,3.0,4.0,15,8,2016
2016-08-16,43.0,44.0,4.0,2.0,3.0,5.0,16,8,2016
2016-08-17,51.0,38.0,4.0,1.0,3.0,5.0,17,8,2016
2016-08-18,53.0,52.0,4.0,4.0,3.0,5.0,18,8,2016
2016-08-19,54.0,51.0,4.0,2.0,3.0,5.0,19,8,2016
2016-08-20,45.0,51.0,4.0,1.0,3.0,2.0,20,8,2016
2016-08-21,49.0,51.0,4.0,1.0,3.0,3.0,21,8,2016
2016-08-22,64.0,37.0,7.0,10.0,4.0,3.0,22,8,2016
2016-08-23,37.0,50.0,4.0,10.0,4.0,3.0,23,8,2016
2016-08-24,65.0,53.0,17.0,10.0,4.0,4.0,24,8,2016
2016-08-25,58.0,28.0,4.0,10.0,4.0,4.0,25,8,2016
2016-08-26,32.0,29.0,4.0,10.0,4.0,7.0,26,8,2016
2016-08-27,54.0,35.0,4.0,1.0,4.0,6.0,27,8,2016
2016-08-28,51.0,44.0,10.0,1.0,4.0,6.0,28,8,2016
2016-08-29,40.0,41.0,12.0,1.0,4.0,6.0,29,8,2016
2016-08-30,39.0,37.0,14.0,10.0,4.0,6.0,30,8,2016
2016-08-31,36.0,38.0,9.0,10.0,4.0,6.0,31,8,2016
2016-09-01,39.0,38.0,7.0,18.0,4.0,5.0,1,9,2016
2016-09-02,40.0,60.0,9.0,18.0,4.0,5.0,2,9,2016
2016-09-03,60.0,61.0,4.0,18.0,4.0,4.0,3,9,2016
2016-09-04,54.0,54.0,8.0,18.0,4.0,4.0,4,9,2016
2016-09-05,47.0,52.0,4.0,18.0,4.0,4.0,5,9,2016
2016-09-06,42.0,54.0,5.0,18.0,4.0,6.0,6,9,2016
2016-09-07,45.0,52.0,5.0,18.0,4.0,3.0,7,9,2016
2016-09-08,52.0,67.0,5.0,18.0,5.0,7.0,8,9,2016
2016-09-09,74.0,66.0,5.0,18.0,5.0,7.0,9,9,2016
2016-09-10,75.0,59.0,5.0,18.0,5.0,7.0,10,9,2016
2016-09-11,75.0,54.0,5.0,18.0,5.0,4.0,11,9,2016
2016-09-12,60.0,62.0,5.0,18.0,5.0,6.0,12,9,2016
2016-09-13,70.0,49.0,5.0,1.0,5.0,4.0,13,9,2016
2016-09-14,62.0,30.0,5.0,18.0,5.0,4.0,14,9,2016
2016-09-15,45.0,39.0,5.0,18.0,5.0,5.0,15,9,2016
2016-09-16,52.0,41.0,5.0,18.0,5.0,7.0,16,9,2016
2016-09-17,72.0,27.0,6.0,18.0,5.0,4.0,17,9,2016
2016-09-18,44.0,24.0,7.0,18.0,4.0,3.0,18,9,2016
2016-09-19,50.0,22.0,5.0,18.0,4.0,4.0,19,9,2016
2016-09-20,35.0,20.0,5.0,18.0,4.0,4.0,20,9,2016
2016-09-21,34.0,28.0,5.0,17.0,7.0,4.0,21,9,2016
2016-09-22,46.0,33.0,5.0,17.0,3.0,3.0,22,9,2016
2016-09-23,44.0,37.0,6.0,18.0,3.0,5.0,23,9,2016
2016-09-24,54.0,30.0,6.0,18.0,3.0,2.0,24,9,2016
2016-09-25,50.0,35.0,7.0,17.0,2.0,4.0,25,9,2016
2016-09-26,50.0,47.0,5.0,17.0,5.0,4.0,26,9,2016
2016-09-27,46.0,42.0,5.0,18.0,3.0,2.0,27,9,2016
2016-09-28,62.0,42.0,5.0,18.0,3.0,2.0,28,9,2016
2016-09-29,65.0,55.0,5.0,18.0,4.0,5.0,29,9,2016
2016-09-30,80.0,44.0,5.0,18.0,5.0,7.0,30,9,2016
2016-10-01,58.0,41.0,3.0,18.0,5.0,11.0,1,10,2016
2016-10-02,66.0,52.0,2.0,18.0,5.0,9.0,2,10,2016
2016-10-03,67.0,35.0,2.0,17.0,5.0,5.0,3,10,2016
2016-10-04,57.0,45.0,3.0,16.0,6.0,5.0,4,10,2016
2016-10-05,76.0,60.0,3.0,16.0,10.0,8.0,5,10,2016
2016-10-06,83.0,45.0,3.0,17.0,10.0,6.0,6,10,2016
2016-10-07,56.0,49.0,4.0,17.0,11.0,5.0,7,10,2016
2016-10-08,58.0,51.0,6.0,17.0,11.0,5.0,8,10,2016
2016-10-09,58.0,43.0,8.0,17.0,12.0,3.0,9,10,2016
2016-10-10,81.0,64.0,7.0,17.0,13.0,5.0,10,10,2016
2016-10-11,86.0,68.0,8.0,17.0,11.0,4.0,11,10,2016
2016-10-12,83.0,70.0,13.0,18.0,9.0,5.0,12,10,2016
2016-10-13,79.0,84.0,17.0,18.0,8.0,6.0,13,10,2016
2016-10-14,115.0,95.0,14.0,19.0,9.0,8.0,14,10,2016
2016-10-15,138.0,91.0,13.0,18.0,4.0,4.0,15,10,2016
2016-10-16,136.0,103.0,16.0,19.0,6.0,7.0,16,10,2016
2016-10-17,153.0,111.0,18.0,19.0,4.0,9.0,17,10,2016
2016-10-18,154.0,84.0,23.0,20.0,7.0,10.0,18,10,2016
2016-10-19,106.0,70.0,23.0,19.0,8.0,13.0,19,10,2016
2016-10-20,140.0,70.0,21.0,19.0,8.0,8.0,20,10,2016
2016-10-21,128.0,100.0,16.0,19.0,7.0,6.0,21,10,2016
2016-10-22,121.0,70.0,20.0,19.0,7.0,7.0,22,10,2016
2016-10-23,137.0,118.0,9.0,19.0,7.0,5.0,23,10,2016
2016-10-24,114.0,54.0,8.0,19.0,8.0,4.0,24,10,2016
2016-10-25,88.0,80.0,19.0,19.0,8.0,6.0,25,10,2016
2016-10-26,107.0,70.0,19.0,19.0,9.0,9.0,26,10,2016
2016-10-27,144.0,70.0,25.0,19.0,10.0,9.0,27,10,2016
2016-10-28,142.0,70.0,24.0,20.0,10.0,11.0,28,10,2016
