date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-10-01,155.0,158.0,24.0,20.0,12.0,11.0,1,10,2018
2018-10-02,168.0,166.0,35.0,24.0,12.0,13.0,2,10,2018
2018-10-03,145.0,172.0,53.0,24.0,15.0,13.0,3,10,2018
2018-10-04,174.0,220.0,31.0,17.0,15.0,14.0,4,10,2018
2018-10-05,210.0,133.0,23.0,19.0,12.0,10.0,5,10,2018
2018-10-06,131.0,155.0,36.0,20.0,14.0,11.0,6,10,2018
2018-10-07,167.0,223.0,45.0,24.0,14.0,14.0,7,10,2018
2018-10-08,205.0,281.0,50.0,24.0,14.0,16.0,8,10,2018
2018-10-09,192.0,227.0,24.0,20.0,14.0,15.0,9,10,2018
2018-10-10,179.0,203.0,14.0,17.0,13.0,10.0,10,10,2018
2018-10-11,163.0,144.0,34.0,15.0,16.0,10.0,11,10,2018
2018-10-12,163.0,255.0,33.0,19.0,17.0,13.0,12,10,2018
2018-10-13,244.0,182.0,27.0,23.0,17.0,11.0,13,10,2018
2018-10-14,190.0,283.0,35.0,23.0,20.0,16.0,14,10,2018
2018-10-15,221.0,368.0,36.0,30.0,19.0,22.0,15,10,2018
2018-10-16,249.0,338.0,29.0,23.0,15.0,24.0,16,10,2018
2018-10-17,227.0,342.0,30.0,23.0,18.0,25.0,17,10,2018
2018-10-18,241.0,279.0,34.0,20.0,19.0,17.0,18,10,2018
2018-10-19,222.0,279.0,39.0,18.0,20.0,15.0,19,10,2018
2018-10-20,263.0,220.0,33.0,19.0,21.0,14.0,20,10,2018
2018-10-21,231.0,218.0,26.0,16.0,24.0,15.0,21,10,2018
2018-10-22,209.0,288.0,32.0,5.0,30.0,18.0,22,10,2018
2018-10-23,223.0,374.0,35.0,3.0,21.0,26.0,23,10,2018
2018-10-24,289.0,304.0,43.0,1.0,21.0,23.0,24,10,2018
2018-10-25,264.0,358.0,32.0,2.0,15.0,21.0,25,10,2018
2018-10-26,300.0,346.0,31.0,2.0,12.0,25.0,26,10,2018
2018-10-27,284.0,472.0,4.0,3.0,14.0,52.0,27,10,2018
2018-10-28,381.0,401.0,29.0,4.0,11.0,29.0,28,10,2018
2018-10-29,313.0,457.0,28.0,5.0,11.0,27.0,29,10,2018
2018-10-30,361.0,418.0,25.0,11.0,11.0,29.0,30,10,2018
2018-10-31,334.0,502.0,23.0,16.0,13.0,34.0,31,10,2018
2018-11-01,388.0,418.0,24.0,17.0,12.0,21.0,1,11,2018
2018-11-02,331.0,324.0,14.0,18.0,10.0,20.0,2,11,2018
2018-11-03,259.0,150.0,26.0,17.0,11.0,10.0,3,11,2018
2018-11-04,196.0,500.0,15.0,16.0,12.0,18.0,4,11,2018
2018-11-05,464.0,266.0,23.0,15.0,11.0,13.0,5,11,2018
2018-11-06,277.0,320.0,35.0,11.0,16.0,14.0,6,11,2018
2018-11-07,320.0,545.0,22.0,9.0,22.0,25.0,7,11,2018
2018-11-08,545.0,512.0,33.0,9.0,14.0,26.0,8,11,2018
2018-11-09,423.0,555.0,17.0,10.0,14.0,31.0,9,11,2018
2018-11-10,428.0,520.0,35.0,9.0,14.0,27.0,10,11,2018
2018-11-11,404.0,531.0,33.0,9.0,13.0,27.0,11,11,2018
2018-11-12,404.0,517.0,10.0,7.0,14.0,32.0,12,11,2018
2018-11-13,393.0,244.0,14.0,9.0,11.0,22.0,13,11,2018
2018-11-14,257.0,145.0,11.0,16.0,11.0,16.0,14,11,2018
2018-11-15,195.0,193.0,16.0,13.0,12.0,12.0,15,11,2018
2018-11-16,243.0,221.0,19.0,11.0,13.0,13.0,16,11,2018
2018-11-17,247.0,370.0,23.0,8.0,13.0,20.0,17,11,2018
2018-11-18,306.0,332.0,25.0,7.0,12.0,17.0,18,11,2018
2018-11-19,290.0,375.0,24.0,7.0,11.0,20.0,19,11,2018
2018-11-20,332.0,321.0,20.0,21.0,12.0,17.0,20,11,2018
2018-11-21,313.0,350.0,21.0,20.0,15.0,19.0,21,11,2018
2018-11-22,271.0,321.0,18.0,18.0,13.0,22.0,22,11,2018
2018-11-23,295.0,187.0,15.0,21.0,14.0,14.0,23,11,2018
2018-11-24,200.0,224.0,20.0,20.0,14.0,14.0,24,11,2018
2018-11-25,235.0,408.0,21.0,20.0,15.0,21.0,25,11,2018
2018-11-26,330.0,487.0,8.0,15.0,13.0,38.0,26,11,2018
2018-11-27,331.0,357.0,13.0,12.0,12.0,24.0,27,11,2018
