date,pm25,pm10,o3,no2,so2,co,dd,mm,yy
2018-11-01,143.0,92.0,40.5,26.5,6.0,5.0,1,11,2018
2018-11-02,143.0,92.0,40.5,26.5,6.0,5.0,2,11,2018
2018-11-03,143.0,92.0,40.5,26.5,6.0,5.0,3,11,2018
2018-11-04,143.0,92.0,40.5,26.5,6.0,5.0,4,11,2018
2018-11-05,143.0,92.0,40.5,26.5,6.0,5.0,5,11,2018
2018-11-06,143.0,92.0,40.5,26.5,6.0,5.0,6,11,2018
2018-11-07,143.0,92.0,40.5,26.5,6.0,5.0,7,11,2018
2018-11-08,143.0,92.0,40.5,26.5,6.0,5.0,8,11,2018
2018-11-09,143.0,92.0,40.5,26.5,6.0,5.0,9,11,2018
2018-11-10,143.0,92.0,40.5,26.5,6.0,5.0,10,11,2018
