date,pm25,o3,no2,so2,co,dd,mm,yy
2016-03-17,195.0,12.0,3.0,1.0,6.0,17,3,2016
2016-03-18,218.0,10.0,3.0,1.0,6.0,18,3,2016
2016-03-19,209.0,14.0,3.0,1.0,5.0,19,3,2016
2016-03-20,183.0,13.0,3.0,1.0,8.0,20,3,2016
2016-03-21,262.0,53.0,3.0,1.0,8.0,21,3,2016
2016-03-22,116.0,14.0,3.0,1.0,6.0,22,3,2016
2016-03-23,128.0,13.0,3.0,1.0,7.0,23,3,2016
2016-03-24,145.0,14.0,3.0,1.0,7.0,24,3,2016
2016-03-25,121.0,14.0,3.0,1.0,7.0,25,3,2016
2016-03-26,121.0,22.0,1.0,1.0,12.0,26,3,2016
2016-03-27,86.0,20.0,3.0,1.0,7.0,27,3,2016
2016-03-28,106.0,13.0,3.0,1.0,8.0,28,3,2016
2016-03-29,115.0,10.0,3.0,1.0,5.0,29,3,2016
2016-03-30,110.0,12.0,2.0,1.0,4.0,30,3,2016
2016-03-31,115.0,10.0,2.0,1.0,5.0,31,3,2016
2016-04-01,157.0,10.0,1.0,1.0,2.0,1,4,2016
2016-04-02,159.0,12.0,1.0,1.0,3.0,2,4,2016
2016-04-03,157.0,13.0,1.0,1.0,4.0,3,4,2016
2016-04-04,159.0,17.0,2.0,1.0,5.0,4,4,2016
2016-04-05,157.0,16.0,3.0,1.0,3.0,5,4,2016
2016-04-06,165.0,135.0,2.0,1.0,4.0,6,4,2016
2016-04-07,158.0,3.0,3.0,1.0,5.0,7,4,2016
2016-04-08,151.0,17.0,4.0,1.0,4.0,8,4,2016
2016-04-09,141.0,22.0,2.0,1.0,4.0,9,4,2016
2016-04-10,150.0,25.0,3.0,1.0,5.0,10,4,2016
2016-04-11,156.0,17.0,5.0,1.0,5.0,11,4,2016
2016-04-12,125.0,23.0,6.0,1.0,6.0,12,4,2016
2016-04-13,134.0,33.0,4.0,1.0,4.0,13,4,2016
2016-04-14,101.0,23.0,3.0,1.0,5.0,14,4,2016
2016-04-15,117.0,15.0,4.0,1.0,5.0,15,4,2016
