date, pm25, pm10, o3, no2, co
28-07-19,26,37,57,34,36
27-07-19,25,36,63,34,37
26-07-19,38,36,55,34,40
25-07-19,36,50,58,34,42
24-07-19,30,47,58,34,37
23-07-19,28,42,41,34,32
22-07-19,29,40,34,34,36
21-07-19,38,41,86,34,42
20-07-19,37,52,61,34,47
19-07-19,31,49,45,34,43
18-07-19,30,42,37,34,32
17-07-19,29,41,38,34,30
16-07-19,29,41,30,34,30
15-07-19,29,40,31,34,30
14-07-19,26,41,35,34,31
13-07-19,29,37,31,34,30
12-07-19,28,44,31,33,33
11-07-19,28,45,29,34,36
10-07-19,28,39,30,34,36
09-07-19,29,39,30,34,36
08-07-19,31,41,29,34,38
07-07-19,20,40,29,34,38
06-07-19,22,29,30,34,38
05-07-19,28,32,30,34,39
04-07-19,31,38,33,34,37
03-07-19,30,43,33,34,37
02-07-19,24,42,30,34,37
01-07-19,24,34,31,33,40
30-06-19,23,34,31,34,41
29-06-19,25,33,34,34,40
28-06-19,28,35,30,34,43
27-06-19,25,39,30,34,42
26-06-19,27,36,39,34,43
25-06-19,31,37,39,34,42
24-06-19,32,35,37,34,47
23-06-19,29,34,39,34,47
22-06-19,27,31,37,34,41
21-06-19,27,30,38,34,44
20-06-19,27,29,43,34,46
19-06-19,28,29,17,32,45
18-06-19,26,31,6,34,46
17-06-19,37,29,6,34,47
16-06-19,37,39,8,34,56
15-06-19,37,39,8,34,64
14-06-19,32,39,8,34,64
13-06-19,27,34,7,34,64
12-06-19,31,29,6,34,64
11-06-19,34,33,44,32,69
10-06-19,36,36,53,34,77
09-06-19,35,38,30,34,73
08-06-19,38,38,63,34,68
07-06-19,34,45,78,34,70
06-06-19,34,45,59,34,56
05-06-19,33,44,48,34,55
04-06-19,32,40,48,34,53
03-06-19,33,37,51,34,53
02-06-19,32,40,40,34,52
01-06-19,31,40,58,35,52
31-05-19,32,43,52,34,52
30-05-19,34,48,68,34,52
29-05-19,43,50,64,34,56
28-05-19,34,57,58,35,54
27-05-19,31,64,62,35,54
26-05-19,34,51,70,35,52
25-05-19,30,54,74,35,51
24-05-19,29,56,63,35,52
23-05-19,30,49,63,35,51
22-05-19,31,49,65,33,53
21-05-19,27,48,71,33,51
20-05-19,27,46,73,33,54
19-05-19,32,42,74,33,48
18-05-19,34,56,56,34,52
17-05-19,38,59,48,34,57
16-05-19,41,55,52,34,58
15-05-19,33,54,61,35,59
14-05-19,31,53,67,35,57
13-05-19,30,46,61,35,54
12-05-19,33,42,65,35,55
11-05-19,32,36,70,35,55
10-05-19,31,33,57,35,53
09-05-19,33,32,63,33,54
08-05-19,50,37,62,33,54
07-05-19,36,44,53,33,33
06-05-19,33,52,38,33,55
05-05-19,35,50,47,33,57
04-05-19,33,54,39,33,56
03-05-19,32,55,33,33,57
02-05-19,34,60,39,33,60
01-05-19,33,62,46,33,64
30-04-19,35,62,33,33,73
29-04-19,34,65,37,33,43
28-04-19,35,66,62,33,6
27-04-19,38,68,75,35,24
26-04-19,45,63,74,36,18
25-04-19,40,57,60,37,20
24-04-19,30,54,80,39,52
23-04-19,30,54,73,41,52
22-04-19,30,54,69,37,69
21-04-19,30,54,69,37,69
20-04-19,30,54,69,37,69
19-04-19,28,54,69,37,69
18-04-19,30,51,69,37,69
17-04-19,28,54,69,37,69
16-04-19,28,51,69,35,65
15-04-19,28,51,69,35,65
14-04-19,28,51,69,35,65
13-04-19,28,51,69,35,65
12-04-19,33,51,69,36,65
11-04-19,31,60,87,36,68
10-04-19,21,62,107,36,72
09-04-19,18,59,118,36,69
08-04-19,22,56,133,36,67
07-04-19,19,57,119,36,66
06-04-19,22,54,126,34,65
05-04-19,19,56,123,34,67
04-04-19,34,72,157,36,69
03-04-19,39,71,135,36,73
02-04-19,34,60,96,37,69
01-04-19,43,57,98,37,69
31-03-19,52,68,107,37,73
30-03-19,54,76,118,37,77
29-03-19,53,79,124,38,78
28-03-19,59,82,130,39,81
27-03-19,59,92,105,38,82
26-03-19,60,93,81,39,82
25-03-19,61,91,103,38,86
24-03-19,58,99,111,38,87
23-03-19,40,94,125,39,85
22-03-19,34,67,128,38,83
